"","word","value"
"1","11-dehydrocorticosterone",1
"2","1,2:5,6-dibenzanthracene",1
"3","1,25-dihydroxycholecalciferol",1
"4","1,3-diphosphoglyceric",1
"5","17a-hydroxyprogesterone",1
"6","17-hydroxycorticosteroid",1
"7","2,3-diphosphoglycerate",1
"8","2,4-dichlorophenoxyacetic",1
"9","25-hydroxycholecalciferol",1
"10","3,4-dihydroxyphenylalanine",1
"11","3tc",1
"12","4-pyridoxic",1
"13","5-bromodeoxyuridine",1
"14","5-hydroxyindoleacetic",1
"15","5-hydroxytryptamine",1
"16","5-iododeoxyuridine",1
"17","6,8-thioctic",1
"18","6-hydroxydopamine",1
"19","7-dehydrocholesterol",1
"20","8-hydroxyquinoline",1
"21","8-methoxypsoralen",1
"22","a1-",1
"23","a1c",1
"24","aa\\.",1
"25","aaa",1
"26","aaas",1
"27","aaasps",1
"28","aabb",1
"29","aacp",1
"30","aad",1
"31","aadp",1
"32","aadr",1
"33","aads",1
"34","aae",1
"35","aafp",1
"36","aai",1
"37","aaid",1
"38","aain",1
"39","aama",1
"40","aamc",1
"41","aamd",1
"42","aamt",1
"43","aan",1
"44","aao",1
"45","aaop",1
"46","aaos",1
"47","aap",1
"48","aapa",1
"49","aapb",1
"50","aapmr",1
"51","aarane",1
"52","aarc",1
"53","aardwolf",1
"54","aarskog",1
"55","aase",1
"56","aastrom",1
"57","aastromreplicell",1
"58","aat",1
"59","aav",1
"60","ab-",1
"61","abaca",1
"62","abacavir",1
"63","abacterial",1
"64","abactinal",1
"65","abada",1
"66","abae",1
"67","abanga",1
"68","abaptiston",1
"69","abarelix",1
"70","abarognosis",1
"71","abarthrosis",1
"72","abarticular",1
"73","abarticulation",1
"74","abas",1
"75","abascan",1
"76","abasia",1
"77","abasic",1
"78","abatacept",1
"79","abate",1
"80","abatement",1
"81","abateomys",1
"82","abatic",1
"83","abator",1
"84","abattis",1
"85","abatuda",1
"86","abaudiae",1
"87","abavus",1
"88","abaxial",1
"89","abba",1
"90","abbas",1
"91","abbau",1
"92","abbe",1
"93","abbecondenser",1
"94","abbe-estlander",1
"95","abbocillin",1
"96","abbokinase",1
"97","abbott",1
"98","abbreviations",1
"99","abbrochment",1
"100","abc",1
"101","abcd",1
"102","abcess",1
"103","abciss",1
"104","abciximab",1
"105","abditomys",1
"106","abdomen",1
"107","abdominal",1
"108","abdominale",1
"109","abdominales",1
"110","abdominalia",1
"111","abdominalis",1
"112","abdominally",1
"113","abdominals",1
"114","abdominis",1
"115","abdominocardiac",1
"116","abdominocentesis",1
"117","abdominocystic",1
"118","abdominogenital",1
"119","abdominohysterectomy",1
"120","abdominohysterotomy",1
"121","abdominojugular",1
"122","abdominopelvic",1
"123","abdominoperineal",1
"124","abdominoperitoneal",1
"125","abdominoperitoneum",1
"126","abdominoplasties",1
"127","abdominoplasty",1
"128","abdominoposterior",1
"129","abdominoscope",1
"130","abdominoscopy",1
"131","abdominoscrotal",1
"132","abdominothoracic",1
"133","abdominous",1
"134","abdominouterotomy",1
"135","abdominovaginal",1
"136","abdominovesical",1
"137","abdrhalden",1
"138","abducens",1
"139","abducent",1
"140","abduct",1
"141","abduction",1
"142","abductor",1
"143","abductores",1
"144","abductory",1
"145","abductovalgus",1
"146","abductus",1
"147","abduxit",1
"148","abe",1
"149","abearance",1
"150","abecarnil",1
"151","abei",1
"152","abelcet",1
"153","abele",1
"154","abelia",1
"155","abelmoschus",1
"156","abelmosk",1
"157","abelson",1
"158","abembryonic",1
"159","abenol",1
"160","abequose",1
"161","abequosyltransferase",1
"162","aberemurder",1
"163","aberrancy",1
"164","aberrans",1
"165","aberrant",1
"166","aberrantes",1
"167","aberrantis",1
"168","aberrata",1
"169","aberrate",1
"170","aberratio",1
"171","aberration",1
"172","aberrational",1
"173","aberry",1
"174","abes",1
"175","abestt",1
"176","abetalipoproteinemia",1
"177","abeyance",1
"178","abf",1
"179","abg",1
"180","abgs",1
"181","abi",1
"182","abiana",1
"183","abiate",1
"184","abiatrophy",1
"185","abiatus",1
"186","abid",1
"187","abidi",1
